METHOD,TIME

Shading mask STD RNG,9.44108
Shading mask PCG RNG,9.5741
Shading mask XOSHIRO RNG,9.69733
Shading mask MIX RNG,9.66231
Shading mask EIGEN RNG,11.3504
Shading mask EIGEN CAST RNG,9.6947
Shading mask EIGEN VECTORIZED RNG,9.75544
Shading mask STD RNG,9.00561
Shading mask PCG RNG,9.37669
Shading mask XOSHIRO RNG,8.83367
Shading mask MIX RNG,9.50589
Shading mask EIGEN RNG,10.4519
Shading mask EIGEN CAST RNG,9.2225
Shading mask EIGEN VECTORIZED RNG,9.41771
Shading mask STD RNG,9.68584
Shading mask PCG RNG,9.82111
Shading mask XOSHIRO RNG,9.51636
Shading mask MIX RNG,9.29834
Shading mask EIGEN RNG,11.2148
Shading mask EIGEN CAST RNG,9.40379
Shading mask EIGEN VECTORIZED RNG,9.18099
Shading mask STD RNG,9.61266
Shading mask PCG RNG,9.6143
Shading mask XOSHIRO RNG,9.4713
Shading mask MIX RNG,9.58077
Shading mask EIGEN RNG,11.0595
Shading mask EIGEN CAST RNG,9.65756
Shading mask EIGEN VECTORIZED RNG,9.57353
Shading mask STD RNG,9.499
Shading mask PCG RNG,9.48912
Shading mask XOSHIRO RNG,9.81673
Shading mask MIX RNG,9.64782
Shading mask EIGEN RNG,11.1112
Shading mask EIGEN CAST RNG,9.46582
Shading mask EIGEN VECTORIZED RNG,9.48857
Shading mask STD RNG,9.41281
Shading mask PCG RNG,9.24703
Shading mask XOSHIRO RNG,9.41188
Shading mask MIX RNG,9.42639
Shading mask EIGEN RNG,10.6528
Shading mask EIGEN CAST RNG,9.24722
Shading mask EIGEN VECTORIZED RNG,9.17701
Shading mask STD RNG,9.60995
Shading mask PCG RNG,9.68044
Shading mask XOSHIRO RNG,9.73487
Shading mask MIX RNG,9.74219
Shading mask EIGEN RNG,10.9334
Shading mask EIGEN CAST RNG,9.76189
Shading mask EIGEN VECTORIZED RNG,9.46085
Shading mask STD RNG,9.53775
Shading mask PCG RNG,9.59504
Shading mask XOSHIRO RNG,9.60387
Shading mask MIX RNG,9.34949
Shading mask EIGEN RNG,11.0349
Shading mask EIGEN CAST RNG,9.83321
Shading mask EIGEN VECTORIZED RNG,9.48243
Shading mask STD RNG,9.2538
Shading mask PCG RNG,9.3099
Shading mask XOSHIRO RNG,9.22238
Shading mask MIX RNG,9.48113
Shading mask EIGEN RNG,10.9029
Shading mask EIGEN CAST RNG,9.2705
Shading mask EIGEN VECTORIZED RNG,9.33441
Shading mask STD RNG,9.55493
Shading mask PCG RNG,9.59756
Shading mask XOSHIRO RNG,9.65356
Shading mask MIX RNG,9.92891
Shading mask EIGEN RNG,9.91584
Shading mask EIGEN CAST RNG,9.99164
Shading mask EIGEN VECTORIZED RNG,9.44423
Shading mask STD RNG,9.71665
Shading mask PCG RNG,9.46571
Shading mask XOSHIRO RNG,9.65804
Shading mask MIX RNG,9.89843
Shading mask EIGEN RNG,9.79267
Shading mask EIGEN CAST RNG,9.27376
Shading mask EIGEN VECTORIZED RNG,9.56805
Shading mask STD RNG,9.48466
Shading mask PCG RNG,9.32239
Shading mask XOSHIRO RNG,9.53246
Shading mask MIX RNG,9.28674
Shading mask EIGEN RNG,9.57492
Shading mask EIGEN CAST RNG,9.39914
Shading mask EIGEN VECTORIZED RNG,9.46953
Shading mask STD RNG,9.56471
Shading mask PCG RNG,9.75103
Shading mask XOSHIRO RNG,9.77219
Shading mask MIX RNG,9.88686
Shading mask EIGEN RNG,9.78247
Shading mask EIGEN CAST RNG,9.58702
Shading mask EIGEN VECTORIZED RNG,9.31748
Shading mask STD RNG,9.31634
Shading mask PCG RNG,9.23821
Shading mask XOSHIRO RNG,9.15326
Shading mask MIX RNG,9.2947
Shading mask EIGEN RNG,9.43879
Shading mask EIGEN CAST RNG,9.26807
Shading mask EIGEN VECTORIZED RNG,9.14321
Shading mask STD RNG,9.40684
Shading mask PCG RNG,9.5421
Shading mask XOSHIRO RNG,8.90293
Shading mask MIX RNG,9.07721
Shading mask EIGEN RNG,9.56979
Shading mask EIGEN CAST RNG,9.58624
Shading mask EIGEN VECTORIZED RNG,9.19882
Shading mask STD RNG,9.55137
Shading mask PCG RNG,9.51533
Shading mask XOSHIRO RNG,9.66987
Shading mask MIX RNG,9.6411
Shading mask EIGEN RNG,9.41586
Shading mask EIGEN CAST RNG,9.36499
Shading mask EIGEN VECTORIZED RNG,9.51253
Shading mask STD RNG,9.52579
Shading mask PCG RNG,9.59986
Shading mask XOSHIRO RNG,9.59619
Shading mask MIX RNG,9.68352
Shading mask EIGEN RNG,9.63453
Shading mask EIGEN CAST RNG,9.38915
Shading mask EIGEN VECTORIZED RNG,9.44687
Shading mask STD RNG,9.37981
Shading mask PCG RNG,9.48316
Shading mask XOSHIRO RNG,9.46165
Shading mask MIX RNG,9.53111
Shading mask EIGEN RNG,9.56673
Shading mask EIGEN CAST RNG,9.56081
Shading mask EIGEN VECTORIZED RNG,9.46884
Shading mask STD RNG,9.35965
Shading mask PCG RNG,9.4696
Shading mask XOSHIRO RNG,9.45358
Shading mask MIX RNG,9.45258
Shading mask EIGEN RNG,9.35763
Shading mask EIGEN CAST RNG,9.44888
Shading mask EIGEN VECTORIZED RNG,9.42229
Shading mask STD RNG,9.66228
Shading mask PCG RNG,9.68542
Shading mask XOSHIRO RNG,9.72201
Shading mask MIX RNG,9.76903
Shading mask EIGEN RNG,9.49001
Shading mask EIGEN CAST RNG,9.73631
Shading mask EIGEN VECTORIZED RNG,9.30368
Shading mask STD RNG,9.49838
Shading mask PCG RNG,9.4558
Shading mask XOSHIRO RNG,9.58911
Shading mask MIX RNG,9.55345
Shading mask EIGEN RNG,9.26902
Shading mask EIGEN CAST RNG,9.20184
Shading mask EIGEN VECTORIZED RNG,9.1919
Shading mask STD RNG,9.52211
Shading mask PCG RNG,9.45899
Shading mask XOSHIRO RNG,9.68514
Shading mask MIX RNG,9.37305
Shading mask EIGEN RNG,9.54234
Shading mask EIGEN CAST RNG,9.54747
Shading mask EIGEN VECTORIZED RNG,9.26234
Shading mask STD RNG,9.75101
Shading mask PCG RNG,9.82968
Shading mask XOSHIRO RNG,9.80248
Shading mask MIX RNG,9.67128
Shading mask EIGEN RNG,9.91781
Shading mask EIGEN CAST RNG,9.70641
Shading mask EIGEN VECTORIZED RNG,9.74399
Shading mask STD RNG,9.63106
