,Nthreads,NraysPerElement,nBuildingFaces,nMarkers,BVH_building_time,DataStructures_building_time,MaskCSVsaving,MaskComputation,MaskComputation Generate,MaskSaving Generate,MaskSaving Task 1,Time CTRL Masks,Time save parallel mode,Time save sequential mode
0,80.0,5000.0,16116.0,8058.0,0.027113912,0.295844901,10.160507615,9.764197461,0.006500949,0.155818792,9.764123693,1.69850564,1.404681618,6.884293621
1,80.0,1000.0,16116.0,8058.0,0.028013793,0.321027435,11.135616864,1.57970241,0.006542176,0.229468439,1.579647347,1.827811435,1.591712034,7.468443885
2,80.0,10000.0,16116.0,8058.0,0.027268069,0.293461572,10.202483796,21.685923151,0.006516808,0.125481324,21.685845825,1.652568164,1.373895939,7.033387755
3,80.0,100000.0,16116.0,8058.0,0.02671883,0.291581077,10.388177584,237.759240668,0.006157744,0.216896784,237.759158774,1.650655037,1.443113137,7.059946208
4,80.0,100.0,16116.0,8058.0,0.024454383,0.291289462,11.692830132,0.144034184,0.005588324,0.25965756,0.143982868,2.1043103,1.459582075,7.852080811
5,80.0,200.0,16116.0,8058.0,0.027012041,0.306750258,9.324526794,0.253012985,0.005376646,0.078591088,0.25297829,1.503804481,1.36614975,6.359539402
6,80.0,400.0,16116.0,8058.0,0.027213018,0.290054286,9.67263575,0.512792517,0.005591449,0.088938786,0.512748314,1.450623331,1.382985662,6.681455512
7,80.0,800.0,16116.0,8058.0,0.027232065,0.308767879,9.734722844,1.113610573,0.005535334,0.217429112,1.11355626,1.44725133,1.333280937,6.718416483
8,80.0,1500.0,16116.0,8058.0,0.028218478,0.297841131,12.599820629,2.057385325,0.005536406,0.258158054,2.057328008,2.088017258,1.490121727,8.745991277
9,80.0,2000.0,16116.0,8058.0,0.027712507,0.318182102,9.683334446,3.820364982,0.005833604,0.176714546,3.82028963,1.428895043,1.33734582,6.720617846
10,80.0,20000.0,16116.0,8058.0,0.027668836,0.30577415,10.211823874,48.89881546,0.005420749,0.069057868,48.898722074,1.740944369,1.36889423,7.015630787
11,80.0,40000.0,16116.0,8058.0,0.024611689,0.329898361,11.046322178,82.124526957,0.006965262,0.162333905,82.124376184,1.901579938,1.459654299,7.506466635
12,80.0,60000.0,16116.0,8058.0,0.025010809,0.290329487,10.509603671,140.596805387,0.005331951,0.221992163,140.596722611,1.69430029,1.397616633,7.177185387
13,80.0,80000.0,16116.0,8058.0,0.024894239,0.287013743,11.902559611,182.523084584,0.005282279,0.363247012,182.523000496,2.031507892,1.627267451,7.862431916
14,80.0,30000.0,16116.0,8058.0,0.025306063,0.3032734,10.619794326,64.435030009,0.005690085,0.139173088,64.434952324,1.820074849,1.455722762,7.188524512
15,80.0,50000.0,16116.0,8058.0,0.026274253,0.325474065,11.289737161,113.433699748,0.005230651,0.390855031,113.433614979,1.732556126,1.530683147,7.617162536
16,80.0,70000.0,16116.0,8058.0,0.028102387,0.308304662,10.461126492,164.61181778,0.005077533,0.208682226,164.611721789,1.711938169,1.424676077,7.098075643
17,80.0,90000.0,16116.0,8058.0,0.024960361,0.290375113,10.752552637,203.040541226,0.005374952,0.220176488,203.040461656,1.872986682,1.430909856,7.211728847
18,80.0,50.0,16116.0,8058.0,0.027627134,0.309264172,9.57044723,0.068809804,0.005739306,0.199463219,0.068761694,1.664947934,1.381140567,6.308184383
19,80.0,10.0,16116.0,8058.0,0.027078032,0.289878839,9.345365529,0.017578808,0.005041745,0.211025308,0.017543433,1.577368794,1.383491955,6.156726916
20,80.0,15000.0,16116.0,8058.0,0.02720485,0.307220375,9.963468243,32.982929061,0.006455183,0.207932927,32.982812633,1.488920595,1.365531496,6.883138368
